,bidNtceNo,bidNtceOrd,bidClsfcNo,bidNtceNm,bssamt,bssamtOpenDt,rsrvtnPrceRngBgnRate,rsrvtnPrceRngEndRate,evlBssAmt,dfcltydgrCfcnt,etcGnrlexpnsBssRate,gnrlMngcstBssRate,prftBssRate,lbrcstBssRate,sftyMngcst,sftyChckMngcst,rtrfundNon,envCnsrvcst,scontrctPayprcePayGrntyFee,mrfnHealthInsrprm,npnInsrprm,rmrk1,rmrk2,odsnLngtrmrcprInsrprm,usefulAmt,inptDt,bidPrceCalclAYn,bssAmtPurcnstcst,qltyMngcst,qltyMngcstAObjYn,opengDt,bidNtceDtlUrl
0,20240919115,00,0,1호선 노후 에스컬레이터 교체(3차분) 소방부대공사,30810000,2024-09-24 10:24:24,-3,+3,0,,,,,,587176,0,0,0,0,637597,809361,,,82568,,2024-09-24 10:24:24,Y,,0,Y,2024-09-30 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240919115&bidseq=00&releaseYn=Y&taskClCd=3
1,20241022575,00,0,송도달빛축제공원역 가스계 소화약제 자동화재탐지설비 시스템 개선공사,42382000,2024-10-22 14:37:07,-3,+3,0,,,,,,550344,0,0,0,0,0,0,,,0,,2024-10-22 14:37:07,Y,,0,Y,2024-10-28 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241022575&bidseq=00&releaseYn=Y&taskClCd=3
2,20241101948,00,0,비류마을 공동이용시설 건립공사(소방),28702000,2024-11-04 10:52:52,-3,+3,0,,,,,,371840,0,0,0,0,463391,588225,,,60009,,2024-11-04 10:52:52,Y,,0,Y,2024-11-08 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241101948&bidseq=00&releaseYn=Y&taskClCd=3
3,20241120682,00,0,인천동명초 급식실 현대화사업 소방공사,59939000,2024-11-15 15:42:53,-3,+3,0,,,,,,1144108,0,0,0,0,643793,817227,,,83371,,2024-11-15 15:42:53,Y,,0,Y,2024-11-21 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241120682&bidseq=00&releaseYn=Y&taskClCd=3
4,20241124441,00,0,"상인천초 석면텍스 교체, 냉난방시설 개선 및 디자인이 담긴 화장실 개선 소방공사",31186000,2024-11-18 18:32:57,-3,+3,0,,,,,,549963,0,0,0,0,468962,595298,,,60730,,2024-11-18 18:32:57,Y,,0,Y,2024-11-22 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241124441&bidseq=00&releaseYn=Y&taskClCd=3
5,20241126189,00,0,인천심곡초등학교 냉난방개선 및 석면교체 소방공사(계속비),14663000,2024-11-19 15:43:45,-3,+3,0,,,,,,0,0,0,0,0,265786,337387,,,34419,,2024-11-19 15:43:45,Y,,0,Y,2024-11-25 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241126189&bidseq=00&releaseYn=Y&taskClCd=3
6,20241126216,00,0,인천가현초등학교 냉난방개선 및 석면교체 소방공사(계속비),15391000,2024-11-19 15:48:32,-3,+3,0,,,,,,0,0,0,0,0,274989,349069,,,35611,,2024-11-19 15:48:32,Y,,0,Y,2024-11-25 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241126216&bidseq=00&releaseYn=Y&taskClCd=3
7,20241133061,00,0,인천가현초등학교 외 1교(이음중) 모듈러교실 증축 부대시설 소방공사,11337000,2024-11-22 16:35:51,-3,+3,0,,,,,,0,0,0,0,0,184330,233987,,,23870,,2024-11-22 16:35:51,Y,,0,Y,2024-11-28 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241133061&bidseq=00&releaseYn=Y&taskClCd=3
