,thrd_pt,normal,yield
"(0.9958, 0.996]",14.249522397141929,16.72554278805383,14.350040695193881
"(0.996, 0.9962]",15.30885002390535,17.360689982536886,13.864289990012121
"(0.9962, 0.9965]",14.839295914869998,16.629308364647308,13.70042727468796
"(0.9965, 0.9968]",15.300872981530002,17.649393252756457,14.102197423371445
"(0.9968, 0.997]",15.549021641232088,17.12972736636123,13.468542565877005
"(0.997, 0.9972]",16.352731790382535,17.57240571403124,13.137542329433042
"(0.9972, 0.9975]",16.793663168536135,17.61089948339385,12.820628629739792
"(0.9975, 0.9978]",17.3122311768914,18.323034216602128,12.939502241176719
"(0.9978, 0.998]",17.35716820860391,17.225961789767755,12.13326903896088
"(0.998, 0.9982]",16.88843230285842,18.477009294052564,13.375670455203998
"(0.9982, 0.9985]",17.921288570415825,18.13056536978908,12.368451612650253
"(0.9985, 0.9988]",18.16096064984849,17.726380791481677,11.933132897059847
"(0.9988, 0.999]",17.285047720356577,18.573243717459086,13.136824407921544
"(0.999, 0.9992]",15.934669916127516,18.650231256184306,14.30916758379462
"(0.9992, 0.9995]",16.20022617375978,17.591652598712546,13.275741347718768
"(0.9995, 0.9998]",15.495435854319616,17.28370244381167,13.636603235569698
"(0.9998, 1.0]",14.152540366364251,17.245208674449056,14.897289993952882
"(1.0, 1.0002]",14.123115766349924,17.899602753613422,15.494804250530947
"(1.0002, 1.0005]",14.078334144256777,17.34144309785558,15.059383277399663
"(1.0005, 1.0008]",13.657915029779032,18.53474994809648,16.591113912487856
"(1.0008, 1.001]",12.947911747081497,17.28370244381167,16.319628588386575
"(1.001, 1.0012]",13.807582075510284,17.784121445525592,15.746643754277217
"(1.0012, 1.0015]",13.983341930099577,17.707133906800372,15.481410073193585
"(1.0015, 1.0018]",14.988356568326008,18.41926864000865,15.024207949912611
"(1.0018, 1.002]",15.648972703764118,16.860270980822964,13.172006540213356
"(1.002, 1.0022]",16.212068062193925,17.379936867218195,13.106387272077361
"(1.0022, 1.0025]",16.688978685836535,16.764036557416443,12.280669947689809
"(1.0025, 1.0028]",17.427597908332018,17.0142460582734,11.935713847119064
"(1.0028, 1.003]",16.068910204836712,15.58997659185685,11.861299158066284
"(1.003, 1.0032]",15.850821316718557,15.551482822494242,11.994806740040117
"(1.0032, 1.0035]",15.869365350058002,15.859432977395118,12.218033666610339
"(1.0035, 1.0038]",15.994280422554063,15.359013975681192,11.740101449424053
"(1.0038, 1.004]",14.841186777263633,16.417592633152957,13.524277239321275
"(1.004, 1.0042]",14.20039267965083,14.685373011835527,12.64322446877904
"(1.0042, 1.0045]",13.941721493189778,15.724704784625985,13.789207860242934
"(1.0045, 1.0048]",13.014675682684386,14.358175972253346,13.487738639389772
"(1.0048, 1.005]",11.025990584770373,13.415078622869412,14.874720889226927
"(1.005, 1.0052]",10.217872733956675,12.895412736474185,15.42936234163344
"(1.0052, 1.0055]",9.788583423314762,13.376584853506804,16.707005772404035
"(1.0055, 1.0058]",9.442687027109864,12.683697004979832,16.421903042505857
"(1.0058, 1.006]",9.396820437792647,11.105452461112842,14.448692539248908
"(1.006, 1.0062]",8.832907714116299,12.452734388804176,17.235911370869196
"(1.0062, 1.0065]",8.34980006825837,11.220933769200672,16.42956794018014
"(1.0065, 1.0068]",7.6639650448316345,11.605871462826766,18.513880721743284
"(1.0068, 1.007]",7.089061247644445,10.662774113442833,18.388855524442448
"(1.007, 1.0072]",7.1612803083155505,10.547292805355005,18.006261363760625
"(1.0072, 1.0075]",6.832551403339332,10.239342650454129,18.321557466761153
"(1.0075, 1.0078]",6.698173750729174,9.334739070432805,17.038014918382377
"(1.0078, 1.008]",6.827496656053888,9.584948571289768,17.163328356762985
"(1.008, 1.0082]",6.774856330230972,9.200010877663672,16.602040588433905
"(1.0082, 1.0085]",6.54938025087532,9.315492185751502,17.389168679930787
"(1.0085, 1.0088]",6.396795139675049,8.487876144455397,16.222202245507543
"(1.0088, 1.009]",6.5136078646450475,7.756494526565815,14.558515770933449
"(1.009, 1.0092]",6.617870995983268,7.333063063577111,13.546913043718911
"(1.0092, 1.0095]",6.821262831169701,7.602519449115377,13.625924443710717
"(1.0095, 1.0098]",6.67158244055302,7.159841101445369,13.12042029950782
"(1.0098, 1.01]",6.792091076230779,6.948125369951016,12.506545447712629
"(1.01, 1.0102]",5.443020964441548,6.755656523137969,15.17402425524775
"(1.0102, 1.0105]",5.161392807546189,6.2167437520614355,14.725473706047948
"(1.0105, 1.0108]",5.015134965721937,6.0435217899296925,14.732643756319595
"(1.0108, 1.011]",5.081110023963159,5.600843442259683,13.476218828478768
"(1.011, 1.0112]",4.911407057886101,4.965696247776626,12.360824505079737
"(1.0112, 1.0115]",4.629005195953362,4.946449363095321,13.064088674828701
"(1.0115, 1.0118]",4.446780164288976,4.561511669469227,12.541120790450279
"(1.0118, 1.012]",4.48063632529092,4.29205528393096,11.711130814537498
"(1.012, 1.0122]",4.088444946853718,4.003352013711389,11.971231943596806
"(1.0122, 1.0125]",3.5756583623258553,4.041845783073998,13.819646750030891
"(1.0125, 1.0128]",3.6260566790123394,3.5799205507226843,12.070132023793153
"(1.0128, 1.013]",3.7689242906344234,3.1564890877339793,10.239060262195846
"(1.013, 1.0132]",3.473455440344252,3.695401858810513,13.006880834818942
"(1.0132, 1.0135]",3.488561362812435,2.4636012392070086,8.633706237612445
"(1.0135, 1.0138]",3.7029679747887796,2.887032702195713,9.531801016020694
"(1.0138, 1.014]",3.935896530006501,2.4636012392070086,7.652440497046742
"(1.014, 1.0142]",3.9120710401207943,1.8284540447239517,5.7141355333753925
"(1.0142, 1.0145]",4.0435414342725675,2.040169776218304,6.168472488255422
"(1.0145, 1.0147]",4.15013359051414,1.6937258519548184,4.98946821163409
"(1.0147, 1.015]",4.281571513511424,1.9054415834491707,5.440836268500911
"(1.015, 1.0152]",4.317663082949175,1.886194698767866,5.340857490385659
"(1.0152, 1.0155]",4.1671218943393,1.3857756970539423,4.065649698684993
"(1.0155, 1.0158]",3.8783795577620337,1.17405996555959,3.700949767123533
"(1.0158, 1.016]",3.8199559411452384,1.482010120460466,4.743141007402556
"(1.016, 1.0162]",3.7609311813150956,1.2702943889661138,4.129354930790934
"(1.0162, 1.0165]",3.605754365352547,1.020084888109152,3.458703999931578
"(1.0165, 1.0167]",3.1184333292629036,0.8083691566147997,3.1691769711695095
"(1.0167, 1.017]",2.9927505176084406,0.9046035800213235,3.6953961999071048
"(1.017, 1.0172]",3.0789624918392864,0.9046035800213235,3.591923876745142
"(1.0172, 1.0175]",3.14422441638231,0.6928878485269712,2.694155319485346
"(1.0175, 1.0178]",3.2251184611048256,0.538912771076533,2.0428949018804707
"(1.0178, 1.018]",3.4693303048520914,0.6928878485269712,2.441689949557355
"(1.018, 1.0182]",3.4820753347934077,0.5004190017139236,1.756988219724862
"(1.0182, 1.0185]",3.2551373737148763,0.6159003098017521,2.3132060601819084
"(1.0185, 1.0187]",3.2839414288844524,0.4234314629887046,1.5763800963206627
"(1.0187, 1.019]",3.3616338448467546,0.538912771076533,1.9599332843021122
"(1.019, 1.0192]",3.1004631728811676,0.2694563855382665,1.0625151299618678
"(1.0192, 1.0195]",3.1089799242098284,0.30795015490087607,1.2109765394377114
"(1.0195, 1.0198]",3.211656594839683,0.2117157314943523,0.8059298609779756
"(1.0198, 1.02]",3.276973549692201,0.2117157314943523,0.7898659887661479
"(1.02, 1.0202]",3.2080912939327653,0.19246884681304752,0.7334777529790897
"(1.0202, 1.0205]",3.1876780824999935,0.2117157314943523,0.8119922670981157
"(1.0205, 1.0207]",3.2646509078502453,0.13472819276913325,0.5045392484621105
"(1.0207, 1.021]",3.2209459457728213,0.09623442340652376,0.36527523796444833
"(1.021, 1.0212]",3.043858209547319,0.11548130808782853,0.4638317749976006
"(1.0212, 1.0215]",3.0544600913804985,0.15397507745043804,0.6162957834062494
"(1.0215, 1.0218]",3.110968112381329,0.057740654043914263,0.22691299061478362
"(1.0218, 1.022]",3.250373604544623,0.0,0.0
"(1.022, 1.0222]",3.1997795325570895,0.057740654043914263,0.22061491140408152
"(1.0222, 1.0225]",3.1617523349906635,0.019246884681304754,0.07442276764010151
"(1.0225, 1.0227]",3.3142581678762735,0.019246884681304754,0.07099819852396692
"(1.0227, 1.023]",3.3935294332831503,0.0,0.0
"(1.023, 1.0232]",3.2600286959152585,0.0,0.0
"(1.0232, 1.0235]",3.238209113303841,0.0,0.0
"(1.0235, 1.0238]",3.1424100367919565,0.0,0.0
"(1.0238, 1.024]",3.003344938608662,0.0,0.0
"(1.024, 1.0242]",2.9220027426066415,0.0,0.0
"(1.0242, 1.0245]",2.9220027426066415,0.0,0.0
"(1.0245, 1.0247]",2.9220027426066415,0.0,0.0
"(1.0247, 1.025]",2.9220027426066415,0.0,0.0
