bidNtceNo,bidNtceOrd,ntceKindNm,bidNtceNm,bidNtceDtlUrl,opengDt
20240919115,00,일반,1호선 노후 에스컬레이터 교체(3차분) 소방부대공사,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240919115&bidseq=00&releaseYn=Y&taskClCd=3,2024-09-30 11:00:00
20241022575,00,일반,송도달빛축제공원역 가스계 소화약제 자동화재탐지설비 시스템 개선공사,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241022575&bidseq=00&releaseYn=Y&taskClCd=3,2024-10-28 11:00:00
20241101948,00,일반,비류마을 공동이용시설 건립공사(소방),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241101948&bidseq=00&releaseYn=Y&taskClCd=3,2024-11-08 11:00:00
20241113963,00,일반,한일병원 소화기센터 의료장비 도입공사(소방분야),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241113963&bidseq=00&releaseYn=Y&taskClCd=3,2024-11-22 16:00:00
20241120682,00,일반,인천동명초 급식실 현대화사업 소방공사,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241120682&bidseq=00&releaseYn=Y&taskClCd=3,2024-11-21 11:00:00
20241124441,00,일반,"상인천초 석면텍스 교체, 냉난방시설 개선 및 디자인이 담긴 화장실 개선 소방공사",https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241124441&bidseq=00&releaseYn=Y&taskClCd=3,2024-11-22 11:00:00
20241126189,00,일반,인천심곡초등학교 냉난방개선 및 석면교체 소방공사(계속비),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241126189&bidseq=00&releaseYn=Y&taskClCd=3,2024-11-25 11:00:00
20241126216,00,일반,인천가현초등학교 냉난방개선 및 석면교체 소방공사(계속비),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241126216&bidseq=00&releaseYn=Y&taskClCd=3,2024-11-25 11:00:00
20241133061,00,일반,인천가현초등학교 외 1교(이음중) 모듈러교실 증축 부대시설 소방공사,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241133061&bidseq=00&releaseYn=Y&taskClCd=3,2024-11-28 11:00:00
